lr-Adam,step,train_meaniou_step,train_bgiou_step,train_penumbraiou_step,train_umbraiou_step,epoch,val_loss,val_meaniou,val_bgiou,val_penumbraiou,val_umbraiou,train_loss,train_meaniou,train_bgiou,train_penumbraiou,train_umbraiou
0.0001,0,,,,,,,,,,,,,,,
,1,0.328474241964784,0.984321771495494,0.0006843455945252353,0.00041660880433273156,0,,,,,,,,,,
,3,0.3022590571060601,0.9066632418922811,0.00011392942589926567,0.0,0,,,,,,,,,,
,5,0.3124341703271982,0.9371504321813795,0.0,0.00015207880021524998,0,,,,,,,,,,
,5,,,,,0,0.9015750885009766,0.3256451524396182,0.9768413064007772,5.8269398854035155e-05,3.588151922352392e-05,,,,,
,5,,,,,0,,,,,,0.9302833080291748,0.26194734546134607,0.7819522464835549,0.0035576631068580393,0.00033212679362541725
0.0001,6,,,,,,,,,,,,,,,
,7,0.318768782133608,0.956306346400824,0.0,0.0,1,,,,,,,,,,
,9,0.32389461114886575,0.971320613642736,0.0,0.00036321980386130594,1,,,,,,,,,,
,11,0.3311746385362413,0.993523915608724,0.0,0.0,1,,,,,,,,,,
,11,,,,,1,0.7489422559738159,0.32363090774946235,0.970866365841956,0.0,2.635740643120717e-05,,,,,
,11,,,,,1,,,,,,0.9244163036346436,0.326100978170375,0.9781520186404347,0.0,0.00015091587069025145
0.0001,12,,,,,,,,,,,,,,,
,13,0.31781276905424083,0.95342094906517,0.0,1.7358097552508245e-05,2,,,,,,,,,,
,15,0.3019848332028077,0.9052889105621172,0.0006655890463059808,0.0,2,,,,,,,,,,
,17,0.28793097778439014,0.8630197173068486,0.0005129155852181437,0.00026030046110367395,2,,,,,,,,,,
,17,,,,,2,0.5834996104240417,0.30587935319980075,0.9143602997560679,0.0032612795866817554,1.6480256652530267e-05,,,,,
,17,,,,,2,,,,,,0.5832898616790771,0.31157431768351496,0.933929002487471,0.0007213040506254797,7.26465124484988e-05
0.0001,18,,,,,,,,,,,,,,,
,19,0.312952863040573,0.93735221354622,0.0015063755754991196,0.0,3,,,,,,,,,,
,21,0.31940227084689665,0.9582068125406901,0.0,0.0,3,,,,,,,,,,
,23,0.32257970174153644,0.9677391052246094,0.0,0.0,3,,,,,,,,,,
,23,,,,,3,0.41232502460479736,0.3252159754435221,0.9756479263305664,0.0,0.0,,,,,
,23,,,,,3,,,,,,0.47507157921791077,0.31550573632268175,0.9455629979792072,0.0009542109888380268,0.0
0.0001,24,,,,,,,,,,,,,,,
,25,0.322149912516276,0.9664497375488281,0.0,0.0,4,,,,,,,,,,
,27,0.32568465338812935,0.9770539601643881,0.0,0.0,4,,,,,,,,,,
,29,0.3177905612521701,0.9533716837565104,0.0,0.0,4,,,,,,,,,,
,29,,,,,4,0.4022253751754761,0.3222947770659176,0.9666743420121958,0.0002099891855569438,0.0,,,,,
,29,,,,,4,,,,,,0.4136093258857727,0.3208478998254847,0.962543699476454,0.0,0.0
0.0001,30,,,,,,,,,,,,,,,
,31,0.3238237169053819,0.9714711507161459,0.0,0.0,5,,,,,,,,,,
,33,0.33116206957055694,0.9932715012505865,0.00021470746108427267,0.0,5,,,,,,,,,,
,35,0.3165785471598307,0.9497356414794922,0.0,0.0,5,,,,,,,,,,
,35,,,,,5,0.38320469856262207,0.32712720358132186,0.9813664734486975,1.5137295268081499e-05,0.0,,,,,
,35,,,,,5,,,,,,0.3856607675552368,0.32005624106578145,0.960087339872309,8.138332503542569e-05,0.0
0.0001,36,,,,,,,,,,,,,,,
,37,0.3228607177734375,0.9685821533203125,0.0,0.0,6,,,,,,,,,,
,39,0.33176867167154944,0.9953060150146484,0.0,0.0,6,,,,,,,,,,
,41,0.32014576538604445,0.9604104108240832,2.6885334050275574e-05,0.0,6,,,,,,,,,,
,41,,,,,6,0.4417811632156372,0.3132704462724045,0.9397808072628522,3.053155436143254e-05,0.0,,,,,
,41,,,,,6,,,,,,0.41848888993263245,0.32114932676510144,0.9634414210257447,6.5592695597418275e-06,0.0
0.0001,42,,,,,,,,,,,,,,,
,43,0.32728528210426644,0.981817869706389,3.797660641045116e-05,0.0,7,,,,,,,,,,
,45,0.3225008646647135,0.9675025939941406,0.0,0.0,7,,,,,,,,,,
,47,0.3198346032036675,0.9595038096110026,0.0,0.0,7,,,,,,,,,,
,47,,,,,7,0.3908051550388336,0.31863283227991174,0.9558984968397353,0.0,0.0,,,,,
,47,,,,,7,,,,,,0.39383670687675476,0.318105834634163,0.954313591248575,3.912653914023343e-06,0.0
0.0001,48,,,,,,,,,,,,,,,
,49,0.3119352128770616,0.9358056386311849,0.0,0.0,8,,,,,,,,,,
,51,0.3312483893500434,0.9937451680501302,0.0,0.0,8,,,,,,,,,,
,53,0.3266374799940321,0.9799124399820963,0.0,0.0,8,,,,,,,,,,
,53,,,,,8,0.41453826427459717,0.3151769413769464,0.9455215492846858,9.27484615348943e-06,0.0,,,,,
,53,,,,,8,,,,,,0.39079320430755615,0.3214293623165916,0.964261569663819,2.6517285955782427e-05,0.0
2e-05,54,,,,,,,,,,,,,,,
,55,0.3169184790717231,0.9507554372151693,0.0,0.0,9,,,,,,,,,,
,57,0.33164532979329425,0.9949359893798828,0.0,0.0,9,,,,,,,,,,
,59,0.3239498440721107,0.9717285888581382,0.00012094335819391252,0.0,9,,,,,,,,,,
,59,,,,,9,0.3617491126060486,0.3239968970969871,0.9719906912909614,0.0,0.0,,,,,
,59,,,,,9,,,,,,0.3469921946525574,0.32197838505066234,0.9659071919887942,2.7963163193020393e-05,0.0
2e-05,60,,,,,,,,,,,,,,,
,61,0.3311004638671875,0.9933013916015625,0.0,0.0,10,,,,,,,,,,
,63,0.3313227759467231,0.9939683278401693,0.0,0.0,10,,,,,,,,,,
,65,0.30239889356825084,0.9071966807047526,0.0,0.0,10,,,,,,,,,,
,65,,,,,10,0.38330379128456116,0.32224047625506363,0.966721428765191,0.0,0.0,,,,,
,65,,,,,10,,,,,,0.40780529379844666,0.3211829220807111,0.9635487662421333,0.0,0.0
2e-05,66,,,,,,,,,,,,,,,
,67,0.31316545274522567,0.9394963582356771,0.0,0.0,11,,,,,,,,,,
,69,0.3104330698649088,0.9312992095947266,0.0,0.0,11,,,,,,,,,,
,71,0.3249437544080946,0.9748312632242838,0.0,0.0,11,,,,,,,,,,
,71,,,,,11,0.37888333201408386,0.3245314258053115,0.9735820502349112,1.2227181023415052e-05,0.0,,,,,
,71,,,,,11,,,,,,0.37945517897605896,0.31990810676857273,0.9597243203057183,0.0,0.0
2e-05,72,,,,,,,,,,,,,,,
,73,0.3308711581759982,0.9926134745279948,0.0,0.0,12,,,,,,,,,,
,75,0.33151478237575954,0.9945443471272787,0.0,0.0,12,,,,,,,,,,
,77,0.3007734509746983,0.902309805068474,0.0,1.054785562095226e-05,12,,,,,,,,,,
,77,,,,,12,0.3754463791847229,0.31569427914089626,0.9470828374226888,0.0,0.0,,,,,
,77,,,,,12,,,,,,0.4075339734554291,0.3177883041574716,0.9533360255237453,2.3476015337663353e-05,5.410933331890418e-06
4.000000000000001e-06,78,,,,,,,,,,,,,,,
,79,0.32039409213595915,0.9611822764078776,0.0,0.0,13,,,,,,,,,,
,81,0.3217298719618055,0.9651896158854166,0.0,0.0,13,,,,,,,,,,
,83,0.3314061489645958,0.9940859439124704,0.00013250298131707962,0.0,13,,,,,,,,,,
,83,,,,,13,0.41273918747901917,0.3162110646565755,0.9486331939697266,0.0,0.0,,,,,
,83,,,,,13,,,,,,0.3567957282066345,0.325116845525001,0.9753420061897708,8.530385232197085e-06,0.0
4.000000000000001e-06,84,,,,,,,,,,,,,,,
,85,0.3301982879638672,0.9905948638916016,0.0,0.0,14,,,,,,,,,,
,87,0.3158785502115885,0.9476356506347656,0.0,0.0,14,,,,,,,,,,
,89,0.309791988796658,0.929375966389974,0.0,0.0,14,,,,,,,,,,
,89,,,,,14,0.35709360241889954,0.323531292102955,0.9705938763088651,0.0,0.0,,,,,
,89,,,,,14,,,,,,0.43732813000679016,0.3152956663026348,0.9458770579900926,9.940917811805172e-06,0.0
4.000000000000001e-06,90,,,,,,,,,,,,,,,
,91,0.32890192667643225,0.9867057800292969,0.0,0.0,15,,,,,,,,,,
,93,0.324872862888631,0.9743976104690751,0.00022097819681791397,0.0,15,,,,,,,,,,
,95,0.3123181660970052,0.9369544982910156,0.0,0.0,15,,,,,,,,,,
,95,,,,,15,0.42211464047431946,0.30994298723008895,0.929828961690267,0.0,0.0,,,,,
,95,,,,,15,,,,,,0.3505488634109497,0.3257884688313185,0.9773379359789751,2.7470514980587504e-05,0.0
4.000000000000001e-06,96,,,,,,,,,,,,,,,
,97,0.3278484344482422,0.9835453033447266,0.0,0.0,16,,,,,,,,,,
,99,0.33235783047146267,0.9970734914143881,0.0,0.0,16,,,,,,,,,,
,101,0.3117824130588107,0.9353472391764323,0.0,0.0,16,,,,,,,,,,
,101,,,,,16,0.3855701684951782,0.31848183384648077,0.9554455015394423,0.0,0.0,,,,,
,101,,,,,16,,,,,,0.3818091154098511,0.32213659639711734,0.966409789191352,0.0,0.0
4.000000000000001e-06,102,,,,,,,,,,,,,,,
,103,0.31872579786512584,0.9561773935953776,0.0,0.0,17,,,,,,,,,,
,105,0.30706787109375,0.92120361328125,0.0,0.0,17,,,,,,,,,,
,107,0.3003366258409288,0.9010098775227865,0.0,0.0,17,,,,,,,,,,
,107,,,,,17,0.37691572308540344,0.3234569055062753,0.970370716518826,0.0,0.0,,,,,
,107,,,,,17,,,,,,0.3725593090057373,0.31697375686080365,0.950921270582411,0.0,0.0
8.000000000000002e-07,108,,,,,,,,,,,,,,,
,109,0.3196152493891712,0.9588457481675137,0.0,0.0,18,,,,,,,,,,
,111,0.3202406565348307,0.9607219696044922,0.0,0.0,18,,,,,,,,,,
