lr-SGD,step,train_meaniou_step,train_bgiou_step,train_penumbraiou_step,train_umbraiou_step,epoch,val_loss,val_meaniou,val_bgiou,val_penumbraiou,val_umbraiou,train_loss,train_meaniou,train_bgiou,train_penumbraiou,train_umbraiou
,41,,,,,6,0.9890457987785339,0.001500624729205798,0.0,0.003688638683534907,0.0008132355040824872,,,,,
,41,,,,,6,,,,,,0.9894253611564636,0.001881160432048596,0.0,0.004808276616431697,0.0008352046797140916
5e-05,42,,,,,,,,,,,,,,,
,43,0.0011443378303243666,0.0,0.002640722724113968,0.0007922907668591321,7,,,,,,,,,,
,45,0.002944236028676136,0.0,0.00789514623522091,0.0009375618508074984,7,,,,,,,,,,
,47,0.003275486363021151,0.0,0.008923418423973362,0.0009030406650900921,7,,,,,,,,,,
,47,,,,,7,0.9865485429763794,0.00206376736789683,0.0,0.0051857836333630255,0.0010055184703274646,,,,,
,47,,,,,7,,,,,,0.9889899492263794,0.002089350590087089,0.0,0.0054027357897572514,0.0008653159805040148
5e-05,48,,,,,,,,,,,,,,,
,49,0.0013681426539592751,0.0,0.0033831406822667043,0.000721287279611121,8,,,,,,,,,,
,51,0.0007937538157736037,0.0,0.001727302169923351,0.0006539592773974603,8,,,,,,,,,,
,53,0.0014086312642278876,0.0,0.003490334458422829,0.0007355593342608337,8,,,,,,,,,,
,53,,,,,8,0.986748993396759,0.001909587407333207,0.0,0.00477143897238546,0.0009573232496141614,,,,,
,53,,,,,8,,,,,,0.989703893661499,0.0015327828394873398,0.0,0.0038303385343322256,0.0007680099841297937
5e-05,54,,,,,,,,,,,,,,,
,55,0.00210269168972696,0.0,0.00566374765825818,0.0006443274109227,9,,,,,,,,,,
,57,0.0008131424812351588,0.0,0.001530221882172915,0.0009092055615325615,9,,,,,,,,,,
,59,0.0028592014440939743,0.0,0.00765948134369187,0.000918122988590054,9,,,,,,,,,,
,59,,,,,9,0.9899395704269409,0.002475183941666312,0.0,0.006769619870380679,0.0006559319546182574,,,,,
,59,,,,,9,,,,,,0.9887981414794922,0.0019274635735572992,0.0,0.004945043670959667,0.0008373470497122316
5e-06,60,,,,,,,,,,,,,,,
,61,0.0021184293468209095,0.0,0.005672469039577379,0.00068281900088535,10,,,,,,,,,,
,63,0.002101717987859542,0.0,0.005751760468741601,0.0005533934948370247,10,,,,,,,,,,
,65,0.0014858030981205119,0.0,0.003953220227310163,0.0005041890670513727,10,,,,,,,,,,
,65,,,,,10,0.9882612228393555,0.0021194636122246623,0.0,0.005504646779749139,0.0008537440569248487,,,,,
,65,,,,,10,,,,,,0.9896331429481506,0.0023251890452055013,0.0,0.006265470297029703,0.0007100968385868014
5e-06,66,,,,,,,,,,,,,,,
,67,0.004876362702615357,0.0,0.01389250027859292,0.0007365878292531514,11,,,,,,,,,,
,69,0.0021326685981554925,0.0,0.005548521635510538,0.0008494841589559395,11,,,,,,,,,,
,71,0.0016604207851374647,0.0,0.004748283752860412,0.00023297860255198214,11,,,,,,,,,,
,71,,,,,11,0.9879557490348816,0.0024200167485275066,0.0,0.006432101404625077,0.0008279488409574427,,,,,
,71,,,,,11,,,,,,0.988728940486908,0.0031845686715354427,0.0,0.008838934962898297,0.0007147710517080314
5e-06,72,,,,,,,,,,,,,,,
,73,0.0018230448370042823,0.0,0.004624238996639942,0.0008448955143729055,12,,,,,,,,,,
,75,0.0012709345467476836,0.0,0.0026569961581271767,0.0011558074821158741,12,,,,,,,,,,
,77,0.0041919019387488795,0.0,0.011272779658575236,0.001302926157671403,12,,,,,,,,,,
,77,,,,,12,0.987410843372345,0.002694139839508234,0.0,0.007170090479713197,0.0009123290388115064,,,,,
,77,,,,,12,,,,,,0.9887382984161377,0.002031718674835919,0.0,0.0052563266413105944,0.0008388293831971634
5e-06,78,,,,,,,,,,,,,,,
,79,0.0005264473211349042,0.0,0.0010235414534288639,0.0005558005099758489,13,,,,,,,,,,
,81,0.004689804970157526,0.0,0.012894879606059341,0.0011745353044132361,13,,,,,,,,,,
,83,0.003434295616780032,0.0,0.009392049883086517,0.000910836967253579,13,,,,,,,,,,
,83,,,,,13,0.9869071245193481,0.0024172842614934107,0.0,0.0063443357107314646,0.0009075170737487681,,,,,
,83,,,,,13,,,,,,0.9880557656288147,0.0025804016654630817,0.0,0.006926233758537416,0.0008149712378518283
5e-06,84,,,,,,,,,,,,,,,
,85,0.001656877727618,0.0,0.003967711041182104,0.0010029221416718963,14,,,,,,,,,,
,87,0.0010278760529321203,0.0,0.002403846153846154,0.0006797820049502074,14,,,,,,,,,,
,89,0.0020082304268662665,0.0,0.005320098546791874,0.0007045927338069261,14,,,,,,,,,,
,89,,,,,14,0.9871788024902344,0.002959706358899884,0.0,0.007997168121135063,0.0008819509555645904,,,,,
,89,,,,,14,,,,,,0.988750159740448,0.0018686133338154734,0.0,0.004827325000860793,0.0007785150005856276
5e-06,90,,,,,,,,,,,,,,,
,91,0.0028492774341177217,0.0,0.007440246723207401,0.0011075855791457642,15,,,,,,,,,,
,93,0.003191673168191505,0.0,0.008368622706190765,0.00120639679838375,15,,,,,,,,,,
,95,0.0009632466730524504,0.0,0.00206909292444116,0.0008206470947161912,15,,,,,,,,,,
,95,,,,,15,0.9884287714958191,0.0024364230092029813,0.0,0.006463004297564713,0.0008462647300442309,,,,,
,95,,,,,15,,,,,,0.9868355989456177,0.0022740913393437326,0.0,0.0059612719174303285,0.0008610021006008696
5e-06,96,,,,,,,,,,,,,,,
,97,0.0015951562418707928,0.0,0.003971973044137993,0.0008134956814743855,16,,,,,,,,,,
,99,0.004479494105234336,0.0,0.012583668005354752,0.0008548143103482551,16,,,,,,,,,,
,101,0.0020966078047086395,0.0,0.005512054399340614,0.0007777690147853056,16,,,,,,,,,,
,101,,,,,16,0.9879782199859619,0.0019626689012562726,0.0,0.005095310220633913,0.0007926964831349057,,,,,
,101,,,,,16,,,,,,0.9870192408561707,0.0019694560969113284,0.0,0.005044521170270762,0.0008638471204632241
5e-06,102,,,,,,,,,,,,,,,
,103,0.0012695801167784443,0.0,0.0032578343158547935,0.0005509060344805394,17,,,,,,,,,,
,105,0.00222239941430765,0.0,0.005455640003010008,0.0012115582399129425,17,,,,,,,,,,
,107,0.0027358998206339956,0.0,0.007504616714470944,0.0007030827474310438,17,,,,,,,,,,
,107,,,,,17,0.9874464869499207,0.002947427971266048,0.0,0.007950156273458079,0.0008921276403400647,,,,,
,107,,,,,17,,,,,,0.9882538914680481,0.0022392766605616454,0.0,0.005914654227969593,0.0008031757537153442
5e-06,108,,,,,,,,,,,,,,,
,109,0.0021191085046863923,0.0,0.005419951485748939,0.0009373740283102386,18,,,,,,,,,,
,111,0.002570210062127089,0.0,0.0069933184855233855,0.0007173117008578817,18,,,,,,,,,,
,113,0.003948678603173062,0.0,0.010898367381827506,0.0009476684276916798,18,,,,,,,,,,
,113,,,,,18,0.9887312650680542,0.002060109494907953,0.0,0.005407118510325915,0.0007732099743979441,,,,,
,113,,,,,18,,,,,,0.9896392822265625,0.0024998494428956825,0.0,0.006811063175935228,0.0006884851527518203
5e-06,114,,,,,,,,,,,,,,,
,115,0.0037927640056877963,0.0,0.010561330561330561,0.0008169614557328279,19,,,,,,,,,,
,117,0.0013793990736645349,0.0,0.0029387563183260845,0.0011994409026675206,19,,,,,,,,,,
,119,0.0018925917003327322,0.0,0.005047556913779487,0.0006302181872187103,19,,,,,,,,,,
,119,,,,,19,0.9879851937294006,0.0024203778323482875,0.0,0.00642704271978999,0.0008340907772548731,,,,,
,119,,,,,19,,,,,,0.9863214492797852,0.002228271526066554,0.0,0.005695220170367745,0.0009895944078319176
